date,product,category,region,sales,units_sold,customer_age
2023-01-01,Laptop,Electronics,North,1200,2,32
2023-01-02,Phone,Electronics,South,800,4,28
2023-01-03,Desk Chair,Furniture,East,350,1,45
2023-01-04,Coffee Maker,Home,West,120,3,37
2023-01-05,Monitor,Electronics,North,450,3,29
2023-01-06,Desk,Furniture,South,600,2,41
2023-01-07,Headphones,Electronics,East,200,5,24
2023-01-08,Blender,Home,West,80,2,33
2023-01-09,Keyboard,Electronics,North,150,3,27
2023-01-10,Bookshelf,Furniture,South,320,1,39
2023-01-11,Tablet,Electronics,East,550,3,31
2023-01-12,Toaster,Home,West,75,3,43
2023-01-13,Mouse,Electronics,North,60,6,25
2023-01-14,Sofa,Furniture,South,1500,1,36
2023-01-15,Smart Watch,Electronics,East,300,4,30
2023-01-16,Microwave,Home,West,200,2,44
2023-01-17,Gaming PC,Electronics,North,2200,1,22
2023-01-18,Office Chair,Furniture,South,420,3,38
2023-01-19,Camera,Electronics,East,850,2,35
2023-01-20,Coffee Table,Furniture,West,380,1,40
2023-01-21,Speakers,Electronics,North,250,4,26
2023-01-22,Vacuum,Home,South,320,2,42
2023-01-23,External Drive,Electronics,East,120,5,31
2023-01-24,Dining Table,Furniture,West,900,1,47
2023-01-25,TV,Electronics,North,1800,2,33
2023-01-26,Lamp,Home,South,95,4,29
2023-01-27,Printer,Electronics,East,350,3,36
2023-01-28,Dresser,Furniture,West,750,1,41
2023-01-29,Router,Electronics,North,180,2,28
2023-01-30,Mattress,Home,South,1100,1,34
